Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played
JE Taylor,1.0,0,7.53571428571,92.1397379913,28
JEC Franklin,1.57777777778,0.0666666666667,17.4666666667,78.2089552239,45
LJ Wright,1.85714285714,0.0285714285714,16.9142857143,78.4105960265,35
RR Rossouw,4.36363636364,0.272727272727,35.0454545455,97.5949367089,22
MS Atapattu,2.88888888889,0,22.1111111111,72.6277372263,9
Junaid Siddique,2.1,0.1,19.6,67.8200692042,40
Liton Das,0.5,0,3.0,41.3793103448,4
MKDI Amerasinghe,0.333333333333,0,1.66666666667,71.4285714286,3
KAJ Roach,0.588235294118,0,6.11764705882,52.5252525253,34
Ehsan Adil,1.0,0,10.5,70.0,2
HH Dippenaar,1.8,0.2,22.0,54.1871921182,5
GP Swann,1.10256410256,0,10.4871794872,88.7201735358,39
Adnan Akmal,0.75,0,15.25,66.3043478261,4
Naved-ul-Hasan,1.05882352941,0,10.5294117647,78.8546255507,17
RS Bopara,2.125,0.135416666667,24.1875,76.6336633663,96
Mohammed Shami,0.684210526316,0,5.68421052632,88.5245901639,19
Haris Sohail,3.44444444444,0.333333333333,38.0555555556,81.5476190476,18
Shoaib Malik,2.72727272727,0.181818181818,27.2613636364,80.5844810212,88
Nasir Jamshed,3.38095238095,0.214285714286,28.8571428571,71.6735659373,42
Shuvagoto Hom,3.0,0,23.3333333333,79.5454545455,3
RW Price,0.676470588235,0,7.17647058824,57.9572446556,34
DC Thomas,1.1875,0,13.0,63.2218844985,16
MP Vaughan,2.6,0.1,20.6,66.4516129032,10
WD Parnell,1.33333333333,0.047619047619,14.6666666667,71.6279069767,21
TT Bresnan,1.52631578947,0.0175438596491,13.6140350877,86.7039106145,57
MS Wade,1.82222222222,0.111111111111,19.5333333333,77.3767605634,45
CK Langeveldt,0.583333333333,0,4.16666666667,53.7634408602,12
DAJ Bracewell,0.428571428571,0,8.42857142857,65.5555555556,7
KD Mills,1.55769230769,0.0384615384615,12.7692307692,93.5211267606,52
UT Yadav,0.571428571429,0,3.71428571429,58.4269662921,14
Dolar Mahmud,2.33333333333,0,13.6666666667,117.142857143,3
JWM Dalrymple,1.5,0.0909090909091,19.0909090909,74.7330960854,22
KMDN Kulasekara,1.13186813187,0.032967032967,11.1978021978,77.196969697,91
K Weeraratne,1.5,0,19.0,97.4358974359,2
UT Khawaja,3.5,0.25,26.25,92.1052631579,4
Suhrawadi Shuvo,1.0,0,9.88888888889,68.992248062,9
RR Sarwan,2.91228070175,0.228070175439,30.3684210526,69.9111470113,57
CA Pujara,0.5,0,6.0,34.7826086957,4
WB Rankin,0.0909090909091,0,3.36363636364,36.6336633663,11
Arafat Sunny,0.625,0,5.375,48.8636363636,8
Q de Kock,5.3829787234,0.255319148936,39.9574468085,93.3399602386,47
Yasir Hameed,1.5,0.25,35.0,51.8518518519,4
MJ Prior,2.34090909091,0.0681818181818,22.1590909091,77.9376498801,44
TMK Mawoyo,0.8,0,8.6,33.8582677165,5
J Botha,1.02702702703,0,11.1621621622,81.7821782178,37
DA Miller,2.62903225806,0.145161290323,25.7903225806,96.9678593087,62
RT Ponting,4.35051546392,0.350515463918,38.8865979381,82.1607492921,97
Zafar Gohar,1.0,0,15.0,100.0,1
Yasir Arafat,4.0,0,24.5,68.0555555556,2
MJ Clarke,3.05128205128,0.290598290598,35.5213675214,73.4275618375,117
Habibul Bashar,1.2,0,14.6666666667,51.1627906977,15
GH Dockrell,0.733333333333,0,8.6,65.8163265306,15
GJ Maxwell,3.67391304348,0.217391304348,27.2391304348,114.012738854,46
RJ Nicol,3.5,0.222222222222,31.4444444444,73.7940026076,18
RJ Peterson,1.67857142857,0.0357142857143,16.3571428571,84.1911764706,28
MA Starc,0.8,0,9.0,70.8661417323,10
MR Marsh,3.47826086957,0.260869565217,31.0434782609,94.4444444444,23
SJ Harmison,0.166666666667,0,5.66666666667,73.9130434783,6
J Lewis,0.571428571429,0,6.0,85.7142857143,7
R Rampaul,1.25806451613,0.0322580645161,9.70967741935,78.1818181818,31
D Langford-Smith,0.888888888889,0,8.66666666667,92.8571428571,9
BW Hilfenhaus,0.222222222222,0,3.22222222222,40.8450704225,9
KD Karthik,2.37037037037,0.111111111111,20.8518518519,70.9962168979,54
AG Prince,1.14285714286,0,18.1428571429,76.5060240964,7
PA Browne,2.6,0,26.8,73.2240437158,5
JM Anderson,0.234042553191,0,3.10638297872,44.9230769231,47
RT Crandon,1.0,0,5.0,55.5555555556,1
PA Nixon,1.4375,0,16.3125,78.3783783784,16
Mohammad Amir,1.61538461538,0.0769230769231,12.9230769231,74.0088105727,13
S Randiv,1.73333333333,0.0666666666667,16.2666666667,69.7142857143,15
NM Lyon,0.666666666667,0,4.0,133.333333333,3
