Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Mushfiqur Rahim,29,10,19,67,112,3,23,0,12,5,17,86,66,152,192,192,12,0,8,2.61111,0.18254,27.7778,75.2526,126,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Shakib Al Hasan,45,20,25,76,112,3,23,0,12,5,17,86,66,152,192,192,12,0,8,2.86992,0.252033,29.9106,79.0163,123,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Habibul Bashar,0,0,0,0,112,3,23,0,12,5,17,86,66,152,192,192,12,0,8,1.125,0,15.25,51.2605,16,3
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Sami,3,0,3,14,82,6,6,2,4,5,9,52,45,97,0,132,28,0,8,1.75,0,16,56.6372,4,3
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Iftikhar Anjum,3,0,3,14,82,6,6,2,4,5,9,52,45,97,0,132,28,0,8,0.666667,0,7.33333,58.7786,21,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,8,4,4,28,77,4,25,3,4,5,9,46,65,111,133,133,14,0,8,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,DT Johnston,0,0,0,0,77,4,25,3,4,5,9,46,65,111,133,133,14,0,8,1.27273,0,12.1818,74.2382,22,1
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,SC Williams,30,8,22,44,87,4,14,0,8,15,23,42,82,124,0,202,16,0,8,2.56923,0.276923,28.5385,80.7927,65,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,BRM Taylor,42,10,32,113,87,4,14,0,8,15,23,42,82,124,0,202,16,0,8,3.3,0.26,33.56,76.3421,100,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,BC Lara,12,0,12,30,102,3,13,1,14,14,28,76,67,143,203,204,19,1,8,3.35714,0.178571,29.3571,75.7604,28,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,DJ Bravo,2,0,2,7,102,3,13,1,14,14,28,76,67,143,203,204,19,1,8,2.35514,0.11215,23.1589,80.9011,107,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,45,20,25,69,143,1,35,0,16,12,28,100,106,206,0,318,22,0,8,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,24,4,20,31,143,1,35,0,16,12,28,100,106,206,0,318,22,0,8,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LPC Silva,0,0,0,0,143,1,35,0,16,12,28,100,106,206,0,318,22,0,8,2.55556,0.244444,26.0222,69.4543,45,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Mohammad Ashraful,37,16,21,53,75,7,22,1,8,0,8,54,51,105,319,112,7,0,8,2.17722,0.113924,19.4557,63.9085,79,1
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Abdur Razzak,0,0,0,1,75,7,22,1,8,0,8,54,51,105,319,112,7,0,8,0.849315,0.0136986,8.39726,73.8554,73,1
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Syed Rasel,0,0,0,0,75,7,22,1,8,0,8,54,51,105,319,112,7,0,8,0.222222,0,2.88889,37.6812,18,3
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Imran Nazir,99,56,43,96,156,3,28,1,42,12,54,146,92,238,0,349,13,0,8,4.66667,0.133333,29,96.0265,15,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,9,0,9,15,156,3,28,1,42,12,54,146,92,238,0,349,13,0,8,2.64655,0.215517,28.5,73.2713,116,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,6,0,6,8,103,3,20,1,12,19,31,52,102,154,0,254,25,0,8,4.60199,0.273632,38.3632,86.0219,201,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LPC Silva,25,4,21,37,103,3,20,1,12,19,31,52,102,154,0,254,25,0,8,2.55556,0.244444,26.0222,69.4543,45,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,Harbhajan Singh,1,0,1,1,113,6,17,1,16,7,23,62,91,153,255,185,8,0,8,0.901639,0,9.98361,76.4115,61,1
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,R Dravid,40,8,32,73,113,6,17,1,16,7,23,62,91,153,255,185,8,0,8,2.83721,0.255814,29.8605,72.7067,43,4
