Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
MA Vermeulen,1.85714285714,0.142857142857,7
TC Bastiampillai,2.6,0,5
Shafiul Islam,0.535714285714,0,28
GD Elliott,2.68181818182,0.19696969697,66
MN Waller,1.80434782609,0.0652173913043,46
KO Otieno,1.25,0,4
I Sharma,0.24,0,25
MS Panesar,0.285714285714,0,7
AJ Finch,4.43396226415,0.301886792453,53
OL Pitcher,0.666666666667,0,3
ML Hayden,6.35897435897,0.384615384615,39
AR White,1.0,0,23
C Zhuwao,3.0,0,1
MW Machan,3.35714285714,0.214285714286,14
Shahid Afridi,2.67785234899,0.0939597315436,149
LL Tsotsobe,0.444444444444,0,18
BB Chari,1.0,0,4
JK Kamande,0.823529411765,0,17
SP Fleming,4.30769230769,0.307692307692,26
U Bhatti,1.625,0,8
AD Poynter,0.833333333333,0,6
PM Seelaar,0.714285714286,0,7
Zulfiqar Babar,0.6,0,5
JJ Roy,4.36842105263,0.210526315789,19
Mohammad Rizwan,2.76923076923,0.230769230769,13
DW Steyn,0.75,0,44
BJ Watling,3.0,0.263157894737,19
Zaheer Maqsood,1.0,0,1
Kamran Akmal,3.0,0.119565217391,92
B Kumar,0.75,0,28
Aftab Alam,0.6,0,5
CJ McKay,0.615384615385,0,26
CRD Fernando,0.571428571429,0,21
SPD Smith,3.27118644068,0.237288135593,59
ME Trescothick,6.625,0.375,8
JW Dernbach,0.125,0,8
JJ Atkinson,2.33333333333,0,3
C Munro,2.77777777778,0.222222222222,9
MF Maharoof,1.40540540541,0.027027027027,37
Qaiser Ali,0.8,0,5
Mudassar Bukhari,0.818181818182,0,11
D Ramdin,1.74698795181,0.0963855421687,83
ND McKenzie,2.25,0.25,4
JE Taylor,0.903225806452,0,31
JEC Franklin,1.7358490566,0.0754716981132,53
LJ Wright,1.92105263158,0.0263157894737,38
RR Rossouw,3.96296296296,0.222222222222,27
MS Atapattu,2.63636363636,0,11
Junaid Siddique,2.20454545455,0.113636363636,44
S Dhaniram,2.45454545455,0.181818181818,11
AB Dinda,0.2,0,5
MKDI Amerasinghe,0.333333333333,0,3
ADJ Pitcher,1.0,0,1
KAJ Roach,0.526315789474,0,38
Junaid Siddiqui,0.5,0,4
Mohammad Shahzad,4.38888888889,0.166666666667,18
HH Dippenaar,2.5,0.25,8
GP Swann,1.08695652174,0,46
Adnan Akmal,0.75,0,4
Naved-ul-Hasan,1.15,0,20
RS Bopara,2.22429906542,0.140186915888,107
Mohammed Shami,0.684210526316,0,19
Haris Sohail,3.38095238095,0.333333333333,21
Shoaib Malik,2.81818181818,0.191919191919,99
Nasir Jamshed,3.52083333333,0.229166666667,48
Shuvagoto Hom,3.0,0,3
RW Price,0.702702702703,0,37
