Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
BM Wheeler,1.75,0.0,4,0
FRJ Coleman,2.11111111111,0.111111111111,9,2
Nazimuddin,1.81818181818,0.0,11,2
GR Codrington,1.66666666667,0.0,6,0
DR Tuffey,1.33333333333,0.0,12,0
Mohammad Irfan,0.233333333333,0.0,30,4
J Edness,3.25,0.25,4,1
DM Bravo,3.0,0.223684210526,76,1
DI Allan,1.0,0.0,2,0
MS Sinclair,2.4,0.2,5,2
Mohammad Hafeez,3.94927536232,0.246376811594,138,1
BW Hilfenhaus,0.222222222222,0.0,9,4
HD Rutherford,0.5,0.0,4,4
JL Pattinson,0.25,0.0,8,4
Khurram Khan,4.0,0.25,12,1
GH Bodi,5.0,0.5,2,3
S Matsikenyeri,1.95833333333,0.104166666667,48,2
PP Chawla,0.25,0.0,12,4
CS Baugh,1.04545454545,0.0,22,0
RP Arnold,1.06666666667,0.133333333333,15,0
S Dhawan,5.60563380282,0.366197183099,71,3
RMS Eranga,0.444444444444,0.0,9,4
JM Bairstow,3.0,0.1,10,1
Mithun Ali,5.0,0.0,1,3
TS Nethula,0.333333333333,0.0,3,4
Abdul Jabbar,5.0,0.0,2,3
PVD Chameera,0.6,0.0,5,4
RR Powar,0.333333333333,0.0,9,4
TG Southee,0.764705882353,0.0,51,4
DES Maxwell,1.66666666667,0.0,3,0
AD Mascarenhas,1.83333333333,0.0833333333333,12,2
BRM Taylor,3.24528301887,0.254716981132,106,1
CA Ingram,3.0,0.178571428571,28,1
IA Karim,7.66666666667,0.666666666667,3,3
PM Siddle,0.25,0.0,4,4
RD Steede,1.0,0.0,2,0
Ankur Sharma,1.0,0.0,1,0
MV Boucher,2.5,0.129032258065,62,2
Kamran Hussain,2.0,0.0,1,2
GC Tonge,0.333333333333,0.0,3,4
PJ Ongondo,0.357142857143,0.0,14,4
Adeel Raja,0.333333333333,0.0,3,4
AD Mathews,2.68148148148,0.2,135,2
E Schiferli,1.0,0.0,2,0
T Duffin,4.0,0.25,4,1
NT Broom,1.42105263158,0.0526315789474,19,0
Junaid Khan,0.210526315789,0.0,19,4
JA Burns,2.83333333333,0.166666666667,6,2
MDK Perera,1.0,0.0,4,0
C de Grandhomme,4.0,0.0,1,1
MA Carberry,2.8,0.2,5,2
KJ Coetzer,5.0,0.2,15,3
Mominul Haque,2.60869565217,0.130434782609,23,2
AN Kervezee,2.8,0.1,10,2
Yasir Shah,1.16666666667,0.0,6,0
TL Best,0.375,0.0,8,4
R Vinay Kumar,0.636363636364,0.0,11,4
J Blackwood,0.5,0.0,2,4
GH Worker,2.0,0.0,2,2
GC Wilson,2.61111111111,0.222222222222,36,2
MK Tiwary,2.7,0.2,10,2
Hashmatullah Shahidi,1.66666666667,0.0,3,0
Iftikhar Anjum,0.636363636364,0.0,22,4
Bilawal Bhatti,1.71428571429,0.0,7,0
Bilal Asif,2.33333333333,0.0,3,2
D Bishoo,0.285714285714,0.0,7,4
SI Mahmood,0.888888888889,0.0,9,0
TV Mufambisi,1.5,0.0,4,0
Mehrab Hossain jnr,1.7,0.1,10,0
MR Gillespie,0.9,0.0,10,0
Saeed Ajmal,0.373134328358,0.0,67,4
JD Nel,0.666666666667,0.0,3,4
RW Chakabva,1.0,0.0,29,0
Mohammad Rafique,0.4,0.0,15,4
S Chanderpaul,3.515625,0.390625,64,1
Zahid Hussain,0.5,0.0,2,4
SP Narine,1.05882352941,0.0,34,0
DA Warner,4.49253731343,0.268656716418,67,3
FL Reifer,1.16666666667,0.0,6,0
J Mubarak,1.21428571429,0.0714285714286,14,0
Salman Faris,1.5,0.0,2,0
TAM Siriwardana,3.1,0.2,10,1
K Karate,1.66666666667,0.0,3,0
EJG Morgan,3.25,0.235294117647,136,1
SL Stewart,0.5,0.0,4,4
Ehsan Adil,0.5,0.0,4,4
DA Miller,2.5652173913,0.130434782609,69,2
SP Patil,1.3,0.1,10,0
WF Stelling,2.0,0.0,2,2
KC Sangakkara,4.39150943396,0.367924528302,212,3
Fawad Ahmed,1.0,0.0,1,0
Irfan Ahmed,3.33333333333,0.0,3,1
AT Rayudu,3.38461538462,0.269230769231,26,1
SR Tendulkar,5.9,0.366666666667,90,3
RK Kleinveldt,2.0,0.0,7,2
V Sibanda,3.1,0.185714285714,70,1
KED Carroll,0.333333333333,0.0,3,4
BCJ Cutting,2.5,0.0,2,2
CD Collymore,0.333333333333,0.0,9,4
GM Hamilton,1.5,0.0833333333333,12,0
Mustafizur Rahman,0.5,0.0,4,4
L Vincent,3.33333333333,0.277777777778,18,1
T Mupariwa,0.416666666667,0.0,12,4
DSNFG Jayasuriya,1.0,0.0,2,0
T Panyangara,0.62962962963,0.0,27,4
Naumanullah,1.0,0.0,1,0
Tanvir Ahmed,3.0,0.0,1,1
Younis Khan,2.74166666667,0.233333333333,120,2
Wahab Riaz,1.26,0.04,50,0
AB Barath,2.76923076923,0.0769230769231,13,2
MN van Wyk,3.33333333333,0.266666666667,15,1
WW Hinds,1.11111111111,0.0,9,0
F du Plessis,3.42168674699,0.289156626506,83,1
SKW Kelly,1.0,0.0,1,0
WU Tharanga,3.94890510949,0.262773722628,137,1
SM Warnapura,2.0,0.0,2,2
Imran Tahir,0.625,0.0,16,4
AN Petersen,3.11111111111,0.222222222222,18,1
J Charles,4.02857142857,0.171428571429,35,1
AC Botha,1.86666666667,0.0666666666667,15,2
DG Brownlie,3.0,0.0,9,1
Noor Ali Zadran,3.35294117647,0.176470588235,17,1
S Badrinath,0.666666666667,0.0,6,4
V Permaul,0.333333333333,0.0,3,4
JJ Tucker,2.54545454545,0.0,11,2
NL McCullum,1.64516129032,0.0645161290323,62,0
DL Hemp,3.18181818182,0.272727272727,11,1
