Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
RT Ponting,86.0,44.0,42.0,107,164.0,2,30.0,0,18.0,12.0,30,110,114,224,248,248,8,Australia,0,9
A Symonds,0.0,0.0,0.0,0,164.0,2,30.0,0,18.0,12.0,30,110,114,224,248,248,8,Australia,0,9
MJ Clarke,40.0,4.0,36.0,48,164.0,2,30.0,0,18.0,12.0,30,110,114,224,248,248,8,Australia,0,9
BB McCullum,4.0,0.0,4.0,8,150.0,4,14.0,1,0.0,25.0,25,62,127,189,0,263,15,New Zealand,0,9
JDP Oram,19.0,0.0,19.0,46,150.0,4,14.0,1,0.0,25.0,25,62,127,189,0,263,15,New Zealand,0,9
DL Vettori,0.0,0.0,0.0,0,150.0,4,14.0,1,0.0,25.0,25,62,127,189,0,263,15,New Zealand,0,9
JEC Franklin,0.0,0.0,0.0,0,150.0,4,14.0,1,0.0,25.0,25,62,127,189,0,263,15,New Zealand,0,9
HH Gibbs,11.0,4.0,7.0,14,182.0,1,32.0,1,44.0,20.0,64,132,146,278,0,356,9,South Africa,0,9
AB de Villiers,115.0,54.0,61.0,122,182.0,1,32.0,1,44.0,20.0,64,132,146,278,0,356,9,South Africa,0,9
MV Boucher,0.0,0.0,0.0,0,182.0,1,32.0,1,44.0,20.0,64,132,146,278,0,356,9,South Africa,0,9
DBL Powell,5.0,0.0,5.0,6,200.0,7,15.0,1,18.0,15.0,33,100,148,248,357,289,5,West Indies,1,9
IDR Bradshaw,8.0,0.0,8.0,27,200.0,7,15.0,1,18.0,15.0,33,100,148,248,357,289,5,West Indies,1,9
PD Collingwood,21.0,4.0,17.0,60,105.0,6,17.0,0,4.0,3.0,7,58,71,129,144,147,18,England,0,9
