Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
JP Bray,5.0,4.0,1.0,16,0.0,0,10.0,0,16,5,0,77,Ireland,0
WTS Porterfield,5.0,0.0,5.0,14,0.0,0,10.0,0,16,5,0,77,Ireland,0
AC Botha,0.0,0.0,0.0,0,0.0,0,10.0,0,16,5,0,77,Ireland,0
EJG Morgan,0.0,0.0,0.0,0,0.0,0,10.0,0,16,5,0,77,Ireland,0
NJ O'Brien,0.0,0.0,0.0,0,0.0,0,10.0,0,16,5,0,77,Ireland,0
DPMD Jayawardene,6.0,4.0,2.0,6,0.0,0,33.0,2,30,10,78,81,Sri Lanka,0
ST Jayasuriya,17.0,14.0,3.0,14,0.0,0,33.0,2,30,10,78,81,Sri Lanka,0
MN Samuels,0.0,0.0,0.0,1,0.0,0,12.0,2,0,3,0,230,West Indies,1
S Chanderpaul,6.0,4.0,2.0,6,0.0,0,12.0,2,0,3,0,230,West Indies,1
Javed Omar,1.0,0.0,1.0,15,0.0,0,3.0,0,4,11,231,131,Bangladesh,0
Tamim Iqbal,2.0,0.0,2.0,16,0.0,0,3.0,0,4,11,231,131,Bangladesh,0
Aftab Ahmed,0.0,0.0,0.0,0,0.0,0,3.0,0,4,11,231,131,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,0.0,0,3.0,0,4,11,231,131,Bangladesh,0
ML Hayden,15.0,12.0,3.0,14,0.0,0,30.0,1,26,14,0,348,Australia,0
RT Ponting,14.0,12.0,2.0,16,0.0,0,30.0,1,26,14,0,348,Australia,0
LRPL Taylor,3.0,0.0,3.0,5,0.0,0,28.0,1,28,14,349,133,New Zealand,0
SB Styris,0.0,0.0,0.0,0,0.0,0,28.0,1,28,14,349,133,New Zealand,0
PG Fulton,13.0,4.0,9.0,17,0.0,0,28.0,1,28,14,349,133,New Zealand,0
DS Smith,9.0,4.0,5.0,15,0.0,0,32.0,0,20,8,0,300,West Indies,1
CH Gayle,23.0,18.0,5.0,21,0.0,0,32.0,0,20,8,0,300,West Indies,1
MP Vaughan,17.0,8.0,9.0,14,0.0,0,27.0,1,8,16,301,301,England,0
RS Bopara,3.0,0.0,3.0,7,0.0,0,27.0,1,8,16,301,301,England,0
KC Sangakkara,5.0,0.0,5.0,9,0.0,0,21.0,1,8,10,0,289,Sri Lanka,0
WU Tharanga,15.0,12.0,3.0,19,0.0,0,21.0,1,8,10,0,289,Sri Lanka,0
LRPL Taylor,0.0,0.0,0.0,7,0.0,0,6.0,1,8,9,290,208,New Zealand,0
PG Fulton,5.0,0.0,5.0,19,0.0,0,6.0,1,8,9,290,208,New Zealand,0
JH Kallis,1.0,0.0,1.0,6,0.0,0,7.0,1,12,7,0,149,South Africa,0
HH Gibbs,0.0,0.0,0.0,0,0.0,0,7.0,1,12,7,0,149,South Africa,0
AB de Villiers,4.0,4.0,0.0,20,0.0,0,7.0,1,12,7,0,149,South Africa,0
AG Prince,0.0,0.0,0.0,0,0.0,0,7.0,1,12,7,0,149,South Africa,0
MV Boucher,0.0,0.0,0.0,0,0.0,0,7.0,1,12,7,0,149,South Africa,0
JM Kemp,0.0,0.0,0.0,0,0.0,0,7.0,1,12,7,0,149,South Africa,0
RT Ponting,17.0,16.0,1.0,14,0.0,0,25.0,1,12,8,150,153,Australia,0
ML Hayden,7.0,4.0,3.0,13,0.0,0,25.0,1,12,8,150,153,Australia,0
MJ Clarke,0.0,0.0,0.0,0,0.0,0,25.0,1,12,8,150,153,Australia,0
AC Gilchrist,19.0,14.0,5.0,14,0.0,0,25.0,0,8,12,0,281,Australia,0
ML Hayden,6.0,4.0,2.0,17,0.0,0,25.0,0,8,12,0,281,Australia,0
ST Jayasuriya,4.0,4.0,0.0,10,0.0,0,16.0,1,12,11,282,215,Sri Lanka,0
KC Sangakkara,6.0,4.0,2.0,13,0.0,0,16.0,1,12,11,282,215,Sri Lanka,0
T Duffin,11.0,4.0,7.0,12,0.0,0,26.0,0,16,6,0,197,Zimbabwe,1
V Sibanda,15.0,12.0,3.0,19,0.0,0,26.0,0,16,6,0,197,Zimbabwe,1
H Masakadza,0.0,0.0,0.0,0,0.0,0,26.0,0,16,6,0,197,Zimbabwe,1
Rajin Saleh,0.0,0.0,0.0,15,0.0,0,13.0,0,20,6,198,201,Bangladesh,0
Shahriar Nafees,13.0,8.0,5.0,15,0.0,0,13.0,0,20,6,198,201,Bangladesh,0
JH Kallis,9.0,4.0,5.0,13,0.0,0,18.0,1,16,9,0,248,South Africa,1
LE Bosman,8.0,4.0,4.0,11,0.0,0,18.0,1,16,9,0,248,South Africa,1
HH Gibbs,0.0,0.0,0.0,0,0.0,0,18.0,1,16,9,0,248,South Africa,1
SR Tendulkar,16.0,8.0,8.0,20,0.0,0,16.0,1,16,7,249,91,India,0
