Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
KC Sangakkara,0,0,0,0,0,0,0,0,0,0,0,Sri Lanka,1
HM Amla,0,0,0,0,0,0,0,0,20,20,168,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,4,4,168,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,1,1,168,South Africa,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0,168,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,13,13,0,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,16,16,0,South Africa,0
MDKJ Perera,0,0,0,0,0,0,0,0,37,37,230,Sri Lanka,1
TM Dilshan,0,0,0,0,0,0,0,0,10,10,230,Sri Lanka,1
Tamim Iqbal,0,0,0,0,0,0,0,0,7,7,0,Bangladesh,0
Anamul Haque,0,0,0,0,0,0,0,0,8,8,0,Bangladesh,0
CH Gayle,0,0,0,0,0,0,0,0,3,3,214,West Indies,1
KA Edwards,0,0,0,0,0,0,0,0,5,5,214,West Indies,1
CH Gayle,0,0,0,0,0,0,0,0,11,11,0,West Indies,1
KA Edwards,0,0,0,0,0,0,0,0,0,0,0,West Indies,1
DM Bravo,0,0,0,0,0,0,0,0,1,1,0,West Indies,1
Tamim Iqbal,0,0,0,0,0,0,0,0,4,4,66,Bangladesh,0
Anamul Haque,0,0,0,0,0,0,0,0,7,7,66,Bangladesh,0
Imrul Kayes,0,0,0,0,0,0,0,0,0,0,66,Bangladesh,0
LMP Simmons,0,0,0,0,0,0,0,0,6,6,0,West Indies,1
CH Gayle,0,0,0,0,0,0,0,0,6,6,0,West Indies,1
D Ramdin,0,0,0,0,0,0,0,0,0,0,0,West Indies,1
Tamim Iqbal,0,0,0,0,0,0,0,0,7,7,231,Bangladesh,0
Anamul Haque,0,0,0,0,0,0,0,0,0,0,231,Bangladesh,0
Imrul Kayes,0,0,0,0,0,0,0,0,1,1,231,Bangladesh,0
Mushfiqur Rahim,0,0,0,0,0,0,0,0,7,7,231,Bangladesh,0
Q de Kock,0,0,0,0,0,0,0,0,10,10,0,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,9,9,0,South Africa,0
V Sibanda,0,0,0,0,0,0,0,0,7,7,208,Zimbabwe,1
R Mutumbami,0,0,0,0,0,0,0,0,9,9,208,Zimbabwe,1
H Masakadza,0,0,0,0,0,0,0,0,1,1,208,Zimbabwe,1
