Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Target,Team
RT Ponting,57,24,33,58,153,2,25,0,228,Australia
MJ Clarke,33,12,21,51,153,2,25,0,229,Australia
JWM Dalrymple,21,8,13,29,112,6,21,1,0,England
CT Tremlett,7,4,3,16,112,6,21,1,0,England
J Lewis,0,0,0,0,112,6,21,1,0,England
JM Anderson,0,0,0,0,112,6,21,1,0,England
MEK Hussey,32,14,18,64,93,6,20,0,139,Australia
B Lee,9,0,9,21,93,6,20,0,140,Australia
EC Joyce,71,28,43,117,135,1,16,1,0,England
A Flintoff,0,0,0,6,135,1,16,1,0,England
AJ Strauss,0,0,0,0,135,1,16,1,0,England
SR Clark,9,4,5,16,138,6,20,2,177,Australia
GD McGrath,0,0,0,1,138,6,20,2,178,Australia
SW Tait,0,0,0,0,138,6,20,2,179,Australia
DL Vettori,8,4,4,12,108,4,20,1,0,New Zealand
CD McMillan,19,8,11,33,108,4,20,1,0,New Zealand
JEC Franklin,0,0,0,0,108,4,20,1,0,New Zealand
SE Bond,0,0,0,0,108,4,20,1,0,New Zealand
A Flintoff,20,12,8,21,93,3,29,1,196,England
IR Bell,42,8,34,67,93,3,29,1,197,England
PA Nixon,0,0,0,0,93,3,29,1,198,England
JDP Oram,28,8,20,42,83,5,17,0,0,New Zealand
BB McCullum,10,0,10,30,83,5,17,0,0,New Zealand
MS Panesar,1,0,1,1,89,5,13,3,113,England
J Lewis,0,0,0,2,89,5,13,3,114,England
CD McMillan,5,4,1,5,143,2,32,1,0,New Zealand
L Vincent,69,24,45,101,143,2,32,1,0,New Zealand
JDP Oram,0,0,0,0,143,2,32,1,0,New Zealand
A Flintoff,13,0,13,20,141,4,13,1,243,England
PA Nixon,0,0,0,0,141,4,13,1,244,England
JWM Dalrymple,0,0,0,5,141,4,13,1,245,England
PD Collingwood,62,16,46,76,135,3,23,1,0,England
A Flintoff,3,0,3,5,135,3,23,1,0,England
SB Styris,0,0,0,0,134,2,19,1,238,New Zealand
SP Fleming,85,40,45,125,134,2,19,1,239,New Zealand
BJ Hodge,2,0,2,6,158,1,13,2,0,Australia
MJ Clarke,7,0,7,17,158,1,13,2,0,Australia
MEK Hussey,0,0,0,0,158,1,13,2,0,Australia
PD Collingwood,73,18,55,94,124,3,22,1,241,England
A Flintoff,2,0,2,5,124,3,22,1,242,England
A Flintoff,13,4,9,23,124,4,17,0,0,England
PD Collingwood,36,4,32,59,124,4,17,0,0,England
MS Atapattu,5,4,1,8,162,2,22,1,0,Sri Lanka
WU Tharanga,91,46,45,111,162,2,22,1,0,Sri Lanka
Mohammad Rafique,10,0,10,13,123,5,19,1,230,Bangladesh
Shakib Al Hasan,34,12,22,68,123,5,19,1,231,Bangladesh
Mashrafe Mortaza,0,0,0,0,123,5,19,1,232,Bangladesh
WU Tharanga,100,54,46,124,126,2,42,0,0,Sri Lanka
KC Sangakkara,55,16,39,70,126,2,42,0,0,Sri Lanka
MS Atapattu,0,0,0,0,126,2,42,0,0,Sri Lanka
P Utseya,18,12,6,43,95,7,5,0,115,Zimbabwe
AJ Ireland,0,0,0,0,95,7,5,0,116,Zimbabwe
T Mupariwa,8,0,8,46,95,7,5,0,117,Zimbabwe
T Kamungozi,0,0,0,0,95,7,5,0,118,Zimbabwe
Abdur Razzak,1,0,1,4,118,6,9,2,0,Bangladesh
Khaled Mashud,6,0,6,26,118,6,9,2,0,Bangladesh
CH Gayle,97,58,39,116,114,0,33,0,157,West Indies
S Chanderpaul,50,24,26,100,114,0,33,0,158,West Indies
Habibul Bashar,12,8,4,17,100,3,25,0,0,Bangladesh
Shahriar Nafees,68,44,24,121,100,3,25,0,0,Bangladesh
E Chigumbura,21,0,21,35,93,5,18,0,127,Zimbabwe
GB Brent,7,0,7,28,93,5,18,0,128,Zimbabwe
P Utseya,0,0,0,0,93,5,18,0,129,Zimbabwe
JWM Dalrymple,23,0,23,41,100,5,16,3,0,England
SJ Harmison,0,0,0,1,100,5,16,3,0,England
JM Anderson,0,0,0,0,100,5,16,3,0,England
SP Fleming,65,36,29,85,107,5,22,1,0,New Zealand
DL Vettori,2,0,2,3,107,5,22,1,0,New Zealand
JEC Franklin,0,0,0,0,107,5,22,1,0,New Zealand
MS Atapattu,20,4,16,33,151,3,28,2,0,Sri Lanka
MF Maharoof,0,0,0,4,151,3,28,2,0,Sri Lanka
Shoaib Malik,14,0,14,31,131,4,16,1,237,Pakistan
Kamran Akmal,1,0,1,4,131,4,16,1,238,Pakistan
BC Lara,33,16,17,62,111,4,26,0,0,West Indies
RS Morton,50,20,30,64,111,4,26,0,0,West Indies
MJ Clarke,33,12,21,52,117,4,22,0,205,Australia
AC Gilchrist,70,36,34,103,117,4,22,0,206,Australia
DL Vettori,9,4,5,13,73,6,14,1,0,New Zealand
KD Mills,1,0,1,6,73,6,14,1,0,New Zealand
SE Bond,0,0,0,0,73,6,14,1,0,New Zealand
JS Patel,0,0,0,0,73,6,14,1,0,New Zealand
KC Sangakkara,15,4,11,26,130,3,19,0,154,Sri Lanka
PD Collingwood,12,4,8,17,107,4,16,1,0,England
JWM Dalrymple,3,0,3,13,107,4,16,1,0,England
CMW Read,0,0,0,0,107,4,16,1,0,England
SI Mahmood,0,0,0,0,107,4,16,1,0,England
A Symonds,5,4,1,4,117,3,23,1,151,Australia
MEK Hussey,25,4,21,79,117,3,23,1,152,Australia
MV Boucher,5,0,5,12,102,3,15,1,0,South Africa
AB de Villiers,40,8,32,77,102,3,15,1,0,South Africa
JM Kemp,0,0,0,0,102,3,15,1,0,South Africa
WPUJC Vaas,18,12,6,20,83,6,28,1,130,Sri Lanka
SL Malinga,2,0,2,4,83,6,28,1,131,Sri Lanka
M Muralitharan,0,0,0,0,83,6,28,1,132,Sri Lanka
CRD Fernando,0,0,0,0,83,6,28,1,133,Sri Lanka
SB Styris,42,20,22,74,113,3,30,0,0,New Zealand
SP Fleming,76,38,38,102,113,3,30,0,0,New Zealand
JDP Oram,0,0,0,0,113,3,30,0,0,New Zealand
Shoaib Malik,35,12,23,51,129,4,30,0,210,Pakistan
Mohammad Yousuf,69,36,33,89,129,4,30,0,211,Pakistan
Abdul Razzaq,0,0,0,0,129,4,30,0,212,Pakistan
SK Raina,5,0,5,8,122,3,11,2,0,India
MS Dhoni,6,0,6,24,122,3,11,2,0,India
RR Sarwan,29,4,25,51,121,3,15,0,211,West Indies
RS Morton,6,0,6,21,121,3,15,0,212,West Indies
MV Boucher,49,24,25,72,95,5,23,0,0,South Africa
JM Kemp,29,12,17,67,95,5,23,0,0,South Africa
DJ Bravo,61,40,21,87,135,1,27,0,0,West Indies
CH Gayle,88,46,42,107,135,1,27,0,0,West Indies
MH Yardy,8,0,8,15,143,3,15,1,252,England
KP Pietersen,25,4,21,45,143,3,15,1,253,England
JWM Dalrymple,0,0,0,0,143,3,15,1,254,England
R Dravid,33,16,17,51,117,3,22,0,0,India
M Kaif,13,4,9,21,117,3,22,0,0,India
A Symonds,0,0,0,1,141,2,27,1,227,Australia
DR Martyn,37,12,25,72,141,2,27,1,228,Australia
A Symonds,23,18,5,23,109,4,28,0,0,Australia
MEK Hussey,27,8,19,42,109,4,28,0,0,Australia
JDP Oram,43,20,23,61,101,6,18,0,185,New Zealand
JEC Franklin,0,0,0,0,101,6,18,0,186,New Zealand
DL Vettori,52,20,32,79,101,6,18,0,187,New Zealand
KD Mills,0,0,0,0,101,6,18,0,188,New Zealand
HH Gibbs,38,8,30,56,118,3,20,0,0,South Africa
AB de Villiers,26,4,22,38,118,3,20,0,0,South Africa
CH Gayle,104,66,38,115,166,1,26,1,247,West Indies
