Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Nasir Hossain,4,0,4,9,85,5,23,1,8,9,0,160,1,2.75,0.159091,27.0455,79.3863,44,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Jubair Hossain,0,0,0,0,85,5,23,1,8,9,0,160,1,1,0,5,50,1,3
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F du Plessis,38,12,26,59,90,2,22,0,18,14,161,164,0,3.45122,0.292683,34.9268,83.135,82,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,RR Rossouw,25,12,13,33,90,2,22,0,18,14,161,164,0,3.80769,0.230769,31.3846,93.1507,26,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,JP Duminy,2,0,2,3,60,3,15,1,4,10,0,162,0,2.3252,0.186992,29.9675,80.2351,123,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F du Plessis,36,12,24,53,60,3,15,1,4,10,0,162,0,3.45122,0.292683,34.9268,83.135,82,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F Behardien,0,0,0,0,60,3,15,1,4,10,0,162,0,2.0303,0.0909091,21.2424,91.395,33,0
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Soumya Sarkar,71,44,27,71,112,2,26,0,18,4,163,167,1,7.35714,0.357143,47.2857,99.1018,14,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Mahmudullah,45,20,25,64,112,2,26,0,18,4,163,167,1,2.26531,0.153061,24.4286,70.9544,98,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Shakib Al Hasan,0,0,0,0,112,2,26,0,18,4,163,167,1,2.86992,0.252033,29.9106,79.0163,123,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,DA Miller,27,12,15,33,69,4,14,0,12,15,0,168,0,2.57353,0.132353,24.9412,97.2477,68,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,JP Duminy,11,0,11,31,69,4,14,0,12,15,0,168,0,2.3252,0.186992,29.9675,80.2351,123,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Tamim Iqbal,52,20,32,77,119,0,23,1,12,2,169,170,1,4.05344,0.274809,31.8015,76.8068,131,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Liton Das,0,0,0,2,119,0,23,1,12,2,169,170,1,1,0,7.66667,69.697,6,1
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,HM Amla,65,46,19,71,87,1,26,0,4,14,0,304,1,5.20168,0.403361,48.7899,86.9292,119,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,RR Rossouw,32,14,18,61,87,1,26,0,4,14,0,304,1,3.80769,0.230769,31.3846,93.1507,26,0
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,TWM Latham,53,22,31,69,93,1,19,1,12,14,305,284,0,2.76471,0.147059,25.3529,75.2182,34,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,MJ Guptill,11,6,5,13,93,1,19,1,12,14,305,284,0,4.8087,0.313043,38.1217,82.7482,115,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,GD Elliott,0,0,0,0,93,1,19,1,12,14,305,284,0,2.67188,0.203125,29.4375,79.7629,64,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,JDS Neesham,0,0,0,0,93,1,19,1,12,14,305,284,0,1.75,0,14.875,93.7008,16,0
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,C Munro,0,0,0,0,93,1,19,1,12,14,305,284,0,2.77778,0.222222,27.1111,93.1298,9,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,D Wiese,0,0,0,5,84,4,25,1,0,14,0,204,1,2,0,17,86.4407,6,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F Behardien,24,12,12,27,84,4,25,1,0,14,0,204,1,2.0303,0.0909091,21.2424,91.395,33,0
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,MJ Guptill,49,24,25,81,91,0,15,0,8,5,205,207,0,4.8087,0.313043,38.1217,82.7482,115,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,TWM Latham,57,28,29,74,91,0,15,0,8,5,205,207,0,2.76471,0.147059,25.3529,75.2182,34,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,KS Williamson,0,0,0,0,91,0,15,0,8,5,205,207,0,4.31707,0.390244,43.0488,82.8833,82,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,AB de Villiers,4,0,4,6,86,0,19,2,8,14,0,283,1,5.04969,0.403727,47.2174,98.8428,161,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,MN van Wyk,51,28,23,82,86,0,19,2,8,14,0,283,1,3.33333,0.266667,27.2,66.9951,15,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,GH Worker,3,0,3,4,83,1,19,1,16,13,284,221,0,2,0,20.5,62.1212,2,1
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,TWM Latham,50,22,28,71,83,1,19,1,16,13,284,221,0,2.76471,0.147059,25.3529,75.2182,34,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,GD Elliott,0,0,0,0,83,1,19,1,16,13,284,221,0,2.67188,0.203125,29.4375,79.7629,64,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Mushfiqur Rahim,20,12,8,15,65,2,36,0,16,20,0,329,1,2.61111,0.18254,27.7778,75.2526,126,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Tamim Iqbal,56,28,28,82,65,2,36,0,16,20,0,329,1,4.05344,0.274809,31.8015,76.8068,131,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Haris Sohail,39,18,21,48,100,2,30,0,20,16,330,250,0,3.25,0.3,35.2,80.8266,20,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Azhar Ali,63,24,39,65,100,2,30,0,20,16,330,250,0,3.83333,0.3,38.5333,73.6775,30,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Rizwan,0,0,0,0,100,2,30,0,20,16,330,250,0,2.76923,0.230769,26.7692,92.8,13,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Saad Nasim,8,4,4,17,69,4,16,1,0,12,0,239,0,3.33333,0.333333,33,79.2,3,4
