Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,18,SB Styris,22,16,6,26,16,3,24,0,12,14,26,36,30,66,210,210,6,0,3,3.20755,0.264151,33.8302,78.7094,53,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,18,CD McMillan,11,4,7,17,16,3,24,0,12,14,26,36,30,66,210,210,6,0,3,3.8125,0.1875,29.75,83.9506,16,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,19,Mohammad Yousuf,7,4,3,19,19,2,10,0,8,7,15,24,20,44,0,132,16,0,3,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,19,Imran Nazir,18,8,10,44,19,2,10,0,8,7,15,24,20,44,0,132,16,0,3,4.66667,0.133333,29,96.0265,15,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,19,Inzamam-ul-Haq,0,0,0,0,19,2,10,0,8,7,15,24,20,44,0,132,16,0,3,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,19,Shoaib Malik,0,0,0,0,19,2,10,0,8,7,15,24,20,44,0,132,16,0,3,2.77551,0.193878,28.7041,81.4418,98,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,19,NJ O'Brien,17,8,9,21,14,1,17,1,0,9,9,12,28,40,133,133,4,0,3,2.55882,0.176471,25.5882,69.378,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,19,WTS Porterfield,9,4,5,21,14,1,17,1,0,9,9,12,28,40,133,133,4,0,3,2.6,0.142857,24.6857,56.2866,35,3
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,23,S Matsikenyeri,1,0,1,1,5,2,18,1,8,8,16,20,19,39,0,202,11,0,3,2,0.106383,19.9787,75.7869,47,1
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,23,BRM Taylor,9,4,5,29,5,2,18,1,8,8,16,20,19,39,0,202,11,0,3,3.3,0.26,33.56,76.3421,100,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,23,CH Gayle,11,8,3,29,12,0,9,0,30,3,33,42,12,54,203,204,12,1,3,4.58621,0.206897,31.1293,89.4255,116,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,23,S Chanderpaul,10,4,6,37,12,0,9,0,30,3,33,42,12,54,203,204,12,1,3,3.57143,0.396825,40.8254,68.0783,63,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,26,WU Tharanga,21,8,13,31,19,0,36,0,24,12,36,56,35,91,0,318,11,0,3,3.93985,0.263158,32.9699,71.6035,133,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,26,ST Jayasuriya,34,24,10,32,19,0,36,0,24,12,36,56,35,91,0,318,11,0,3,4.91549,0.211268,33.9859,98.4898,71,0
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,26,DPMD Jayawardene,0,0,0,0,19,0,36,0,24,12,36,56,35,91,0,318,11,0,3,3.20833,0.244792,31.6979,79.1109,192,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,26,Shakib Al Hasan,1,0,1,2,7,2,18,1,0,2,2,16,11,27,319,112,4,0,3,2.86992,0.252033,29.9106,79.0163,123,4
