Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
40,JH Kallis,14.0,12.0,2.0,18,0.0,0,18.0,1,32.0,10.0,42,44,16,60,153,165,4,South Africa,0,2
41,ST Jayasuriya,11.0,8.0,3.0,12,0.0,0,18.0,0,14.0,10.0,24,22,20,42,0,235,2,Sri Lanka,0,2
41,WU Tharanga,7.0,0.0,7.0,19,0.0,0,18.0,0,14.0,10.0,24,22,20,42,0,235,2,Sri Lanka,0,2
41,KC Sangakkara,0.0,0.0,0.0,0,0.0,0,18.0,0,14.0,10.0,24,22,20,42,0,235,2,Sri Lanka,0,2
41,EC Joyce,10.0,4.0,6.0,19,0.0,0,11.0,1,8.0,14.0,22,12,21,33,236,233,0,England,0,2
41,KP Pietersen,0.0,0.0,0.0,0,0.0,0,11.0,1,8.0,14.0,22,12,21,33,236,233,0,England,0,2
41,IR Bell,1.0,0.0,1.0,8,0.0,0,11.0,1,8.0,14.0,22,12,21,33,236,233,0,England,0,2
42,Javed Omar,2.0,0.0,2.0,14,0.0,0,11.0,0,12.0,10.0,22,20,13,33,0,251,3,Bangladesh,0,2
42,Tamim Iqbal,9.0,8.0,1.0,18,0.0,0,11.0,0,12.0,10.0,22,20,13,33,0,251,3,Bangladesh,0,2
42,GC Smith,12.0,4.0,8.0,20,0.0,0,17.0,0,12.0,7.0,19,16,20,36,252,184,3,South Africa,0,2
42,JH Kallis,0.0,0.0,0.0,0,0.0,0,17.0,0,12.0,7.0,19,16,20,36,252,184,3,South Africa,0,2
42,AB de Villiers,5.0,0.0,5.0,11,0.0,0,17.0,0,12.0,7.0,19,16,20,36,252,184,3,South Africa,0,2
43,IR Bell,4.0,0.0,4.0,14,0.0,0,16.0,1,12.0,6.0,18,16,18,34,0,247,5,England,0,2
43,AJ Strauss,7.0,0.0,7.0,9,0.0,0,16.0,1,12.0,6.0,18,16,18,34,0,247,5,England,0,2
43,KP Pietersen,0.0,0.0,0.0,0,0.0,0,16.0,1,12.0,6.0,18,16,18,34,0,247,5,England,0,2
43,AC Gilchrist,12.0,12.0,0.0,16,0.0,0,20.0,0,16.0,12.0,28,36,12,48,248,248,4,Australia,0,2
43,ML Hayden,8.0,8.0,0.0,17,0.0,0,20.0,0,16.0,12.0,28,36,12,48,248,248,4,Australia,0,2
44,SP Fleming,6.0,0.0,6.0,7,0.0,0,26.0,0,16.0,9.0,25,32,19,51,0,263,6,New Zealand,0,2
44,HJH Marshall,0.0,0.0,0.0,0,0.0,0,26.0,0,16.0,9.0,25,32,19,51,0,263,6,New Zealand,0,2
44,PG Fulton,20.0,16.0,4.0,27,0.0,0,26.0,0,16.0,9.0,25,32,19,51,0,263,6,New Zealand,0,2
44,WTS Porterfield,7.0,0.0,7.0,14,0.0,0,10.0,1,4.0,10.0,14,4,20,24,264,134,6,Ireland,0,2
44,EJG Morgan,2.0,0.0,2.0,13,0.0,0,10.0,1,4.0,10.0,14,4,20,24,264,134,6,Ireland,0,2
44,NJ O'Brien,0.0,0.0,0.0,0,0.0,0,10.0,1,4.0,10.0,14,4,20,24,264,134,6,Ireland,0,2
45,GC Smith,6.0,0.0,6.0,17,0.0,0,13.0,0,8.0,10.0,18,12,19,31,0,356,5,South Africa,0,2
45,AB de Villiers,7.0,4.0,3.0,17,0.0,0,13.0,0,8.0,10.0,18,12,19,31,0,356,5,South Africa,0,2
